video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"7DVVEzysx6c","SISWA KAYA VS SISWA MISKIN DI SEKOLAH! || 9 Momen Epic dan Prank Lucu Sekolah oleh RATATA","2020-12-03T02:00:00Z","UCOrr1XwI__pq0Xldd37IJJQ","RATATA Indonesian","24","20.06.12","Kaya vs miskin|kaya vs bangkrut|kaya|miskin|bangkrut|momen canggung|situasi lucu|momen lucu|siswa kaya vs siswa miskin|siswa kaya|siswa miskin|momen sekolah|macam siswa|siswa lucu|siswa|ide lucu|ide gila|komedi|tantangan|tantangan-tantangan|life hack|lifehack|hack|lucu|gila|video menarik|video lucu|ratata indonesia","4518658","34214","9915","5261","https://i.ytimg.com/vi/7DVVEzysx6c/default.jpg","False","False","Suscríbete a RATATA: https://www.youtube.com/channel/UCWCImKDcawQHjmZiURnI80g?sub_confirmation=1TANTANGAN GADIS KAYA VS GADIS MISKIN: https://youtu.be/DQlnyXoL6p4Kalian punya siswa kaya dan miskin di sekolah atau kampus? Tidak? Yah, mungkin kalian beruntung. Tapi di video ini kamia akan menunjukkan bagaimana siswa kaya datang ke kampus, dan seberapa banyak popcorn yang bisa kalian beli kalau kalian punya banyak uang dan bagaimana siswa kaya pergi ke bioskop..Pada akhirnya, kalian bisa jadi orang yang baik tanpa peduli isi dompet.Bagaimana menurutmu? Bagikan opinimu di kolom komentar dan tunjukkan video kami ke temanmu! Pasti menyenangkan:)!Tonton video menarik lainnya di RATATA:Tantangan petak umpet - https://youtu.be/SG-cIL42eDUMasalah Orang Pendek Dan Orang Tinggi - https://youtu.be/1xgdQKb7wygMakanan panas vs dingin - https://youtu.be/fn_Pr9SMWS09 Cara Gila Menyelinapkan Hewan ke Bioskop - https://youtu.be/_IDblIK2PQMMakanan raksasa vs makanan mini - https://youtu.be/1PKArflIIRA Listas de reproducción populares:Desafíos - https://www.youtube.com/playlist?list=PL6PlxeRdptrF1ABrYQbgnv6A-3MDX0onQSneak Food - https://www.youtube.com/playlist?list=PL6PlxeRdptrG5u4Lxl5UhPDT_tPDSTkRdBromas - https://www.youtube.com/playlist?list=PL6PlxeRdptrGIm_I7yQjPuw9Lj3k7-ODrTrucos de la vida - https://www.youtube.com/playlist?list=PL6PlxeRdptrHGfZms7MLccg2OjqHD4bnjSuscríbete a otras redes sociales RATATA:Instagram - https://www.instagram.com/ratata_youtube/?hl=ukTikTok - https://www.tiktok.com/@ratataliveFacebook - https://www.facebook.com/Ratata-105265661182623/RATATA English: Suscríbete:https://www.youtube.com/channel/UC1I_DaL4stfZi03ozQEQ1VQ?sub_confirmation=1RATATA Portuguese:Suscríbete: https://www.youtube.com/channel/UCKgwtiwtKiHhaYj5rJ4uo_Q?sub_confirmation=1RATATA Arabic:Suscríbete: https://www.youtube.com/channel/UCin6578jAsdkO5gc1dm3-iw?sub_confirmation=1RATATA Indonesian:Suscríbete: https://www.youtube.com/channel/UCOrr1XwI__pq0Xldd37IJJQ?sub_confirmation=1RATATA Turkish:Suscríbete: https://www.youtube.com/channel/UCI920JhVTiqi2FMJRnZ7f7A?sub_confirmation=1RATATA Vietnamese:Suscríbete https://www.youtube.com/channel/UCRKvLV2Yx1WJ5TKtkMHMZBg?sub_confirmation=1RATATA Thai:Suscríbete https://www.youtube.com/channel/UCf4QwPgrVfCOqS-nc02FF-g?sub_confirmation=1#RATATA #DIY #Prank Musik oleh Epidemic Sound: https://www.epidemicsound.com/"
"0IpbvXVbBYA","NCT 2020 엔시티 2020 'RESONANCE' MV","2020-12-04T11:01:43Z","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","20.06.12","[none]","11160890","1528869","8203","355099","https://i.ytimg.com/vi/0IpbvXVbBYA/default.jpg","False","False","NCT 2020's new single RESONANCE is out!🎧Listen and download on your favorite platform: https://smarturl.it/NCT2020_RESONANCE🎁Official store: https://nct2020official.comNCT Officialhttp://www.nct2020.comhttp://www.youtube.com/nctsmtownhttp://www.tiktok.com/@official_ncthttp://www.instagram.com/ncthttp://twitter.com/NCTsmtownhttp://www.facebook.com/NCT.smtown#NCT2020 #RESONANCE #NCT2020_RESONANCENCT 2020 엔시티 2020 'RESONANCE' MV ℗ SM Entertainment"
"adJK5FMRCj4","TANTANGAN 100 LAPIS! 100 Lapis Makeup, Kuku Palsu, Lipstik! Serba 100 Lapis oleh 123 GO! CHALLENGE","2020-11-29T09:00:00Z","UC-S7cyZCojMeVopBkH6yNEw","123 GO! CHALLENGE Indonesian","24","20.06.12","123 go challenge|123go challenge|tantangan|123 go|123go|challenge|123go challenge indonesia|jail|seru|lucu|tantangan 123 go|tantangan 123go","8372699","58368","15518","5864","https://i.ytimg.com/vi/adJK5FMRCj4/default.jpg","False","False","Lebih banyak pasti lebih baik?Setelah menonton tantangan seratus lapis ini,Mungkin kamu akan berubah pikiran ...Ayo, siapa takut?Kira-kira kamu bakal bertahan dalam Tantangan Seratus Lapis?Bagikan video ini dengan teman-temanmu dan buat sendiri versi kompetisimu!!Berlangganan ke kanan YouTube kami supaya kamu tidak pernah melewatkan keseruannya!#123GO #100Lapis #SuperBesar #Makeup #GayaRambutVideo ini ditujukan sebagai hiburan. Kami tidak menjamin kelengkapan, keamanan, dan kelayakan apa pun. Segala tindakan yang dilakukan berdasarkan informasi di video ini akan sepenuhnya menjadi risiko pelaku, dan kami tidak akan bertanggung jawab atas segala kerusakan dan kehilangan. Pemirsa bertanggung jawab penuh untuk menilai, merawat, dan melakukan tindak pencegahan jika berencana untuk meniru.Video berikut ini mungkin menampilkan aktivitas yang dilakukan oleh aktor-aktor kami dalam lingkungan terkendali - mohon bertindak penuh pertimbangan, kewaspadaan, dan kehati-hatian apabila hendak meniru.Berlangganan 123 GO! CHALLENGE Indonesian: https://clck.ru/JxtU7Musik oleh Epidemic Sound  https://www.epidemicsound.com/Materi stok (foto, rekaman, dan lain-lain):https://www.depositphotos.comhttps://www.shutterstock.comhttps://elements.envato.com"
"SBT4N5w6-4Q","Penuh Air Mata! Tangis Betrand Meledak Ketika Adiknya Hadir - Kilau Konser Betrand Jilid 2","2020-12-04T12:54:39Z","UC34xi8JB1AKSotPUKHywbaA","MNCTV Official","24","20.06.12","Sinetron MNCTV|Raden Kian Santang|Kembalinya Raden Kian Santang|Alwi Assegaf|Series Terbaik|Series Indonesia|Sinetron Indonesia|Siraman Qolbu|Canda Wayang|Sinetron Terbaik|MNCTV Acara|Kembalinya Raden Kian Santang Tadi Malam|Nikmatnya Sedekah|Ustadz Dhanu|Drama terbaik|Sultan Aji|Live Streaming TV|TV Indonesia|TV Hari Ini|Alladin|acara MNCTV|Kembalinya Raden Kian Santang Hari Ini|Sultan Aji Hari Ini","2697167","133915","2526","14351","https://i.ytimg.com/vi/SBT4N5w6-4Q/default.jpg","False","False","PENUH HARU! BERLINANG AIR MATA! Tangis Betrand Peto Putra Onsu Meledak Saat Ia Kedatangan Kevin Yang Merupakan Adik Kandung Dari Betrand Peto Putra Onsu Untuk Langsung Menyaksikan Aksinya #KilauKonserBetrandJilid2=================================Subscribe MNCTV Official Youtube Channel http://bit.ly/24Ev2foFollow our social media- Twitter  http://bit.ly/2fOu5Ps- Facebook  http://bit.ly/2edzdN2- Instagram  http://bit.ly/2fOBtduCheck Our Official Websitehttp://mnctv.com/http://mnctvmobile.com/m/"
"sAa0tvIbLP4","KEREN!!! Aksi Opening Betrand Bernyanyi Sambil Joged [JAGA PERASAAN] - Kilau Konser Betrand Jilid 2","2020-12-04T12:32:22Z","UC34xi8JB1AKSotPUKHywbaA","MNCTV Official","24","20.06.12","Sinetron MNCTV|Raden Kian Santang|Kembalinya Raden Kian Santang|Alwi Assegaf|Series Terbaik|Series Indonesia|Sinetron Indonesia|Siraman Qolbu|Canda Wayang|Sinetron Terbaik|MNCTV Acara|Kembalinya Raden Kian Santang Tadi Malam|Nikmatnya Sedekah|Ustadz Dhanu|Drama terbaik|Sultan Aji|Live Streaming TV|TV Indonesia|TV Hari Ini|Alladin|acara MNCTV|Kembalinya Raden Kian Santang Hari Ini|Sultan Aji Hari Ini","1119489","88699","1580","18575","https://i.ytimg.com/vi/sAa0tvIbLP4/default.jpg","False","False","SEMPURNA! Aksi Betrand Peto Putra Onsu Yang Bernyanyi Sambil Berjoged Sungguh Keren! Pastinya Aksi Betrand Peto Putra Onsu Sangat Memukau Dan Membuat Kita Jatuh Hati Saat Melihatnya!  Lagu [JAGA PERASAAN] Yang Dibawakan Betrand Ditambah Aransemen Super Keren Pastinya Tak Boleh Ketinggalan Untuk Kita Tonton! #KilauKonserBetrandJilid2=================================Subscribe MNCTV Official Youtube Channel http://bit.ly/24Ev2foFollow our social media- Twitter  http://bit.ly/2fOu5Ps- Facebook  http://bit.ly/2edzdN2- Instagram  http://bit.ly/2fOBtduCheck Our Official Websitehttp://mnctv.com/http://mnctvmobile.com/m/"
"3J92QA0cVQs","Serasi Banget!!! Betrand ft Anneth [MELUKIS SENJA] - Kilau Konser Betrand Peto Jilid 2","2020-12-04T16:05:38Z","UC34xi8JB1AKSotPUKHywbaA","MNCTV Official","24","20.06.12","Sinetron MNCTV|Raden Kian Santang|Kembalinya Raden Kian Santang|Alwi Assegaf|Series Terbaik|Series Indonesia|Sinetron Indonesia|Siraman Qolbu|Canda Wayang|Sinetron Terbaik|MNCTV Acara|Kembalinya Raden Kian Santang Tadi Malam|Nikmatnya Sedekah|Ustadz Dhanu|Drama terbaik|Sultan Aji|Live Streaming TV|TV Indonesia|TV Hari Ini|Alladin|acara MNCTV|Kembalinya Raden Kian Santang Hari Ini|Sultan Aji Hari Ini","972572","92820","1408","11206","https://i.ytimg.com/vi/3J92QA0cVQs/default.jpg","False","False","Wah Wah Wah,, Duet Dua Calon Penyanyi Bintang Masa Depan Indonesia Betrand Peto Putra Onsu Dan Anneth Bawakan Lagu [MELUKIS SENJA] Dengan Chemistry Yang Nyatu Abisss. Ga Akan Bosan Nih Lihat Mereka Berdua Duet. #KilauKonserBetrandJilid2=================================Subscribe MNCTV Official Youtube Channel http://bit.ly/24Ev2foFollow our social media- Twitter  http://bit.ly/2fOu5Ps- Facebook  http://bit.ly/2edzdN2- Instagram  http://bit.ly/2fOBtduCheck Our Official Websitehttp://mnctv.com/http://mnctvmobile.com/m/"
"rz6erfzpvS0","BETRAND PETO PUTRA ONSU | KITA SEMUA SAMA (Official Music Video)","2020-12-02T02:00:11Z","UCg8vVg3RliWcvnlbsI1AzMw","MOP Music Channel","10","20.06.12","MOP Channel Music|Bertand Peto|Bertand|Official Music|Kita Semua Sama|Betrand Peto Putra Onsu|The Onsu|The Onsu Family","2980784","368110","6420","100483","https://i.ytimg.com/vi/rz6erfzpvS0/default.jpg","False","False","KITA SEMUA SAMAPerformed by Betrand Peto Putra OnsuDirected by Jordi OnsuComposed Arranged & Music Produced by Tengku Shafick *******************************************Credit Title:General Manager Operational MOP : Terry SoeHead Of Content Production MOP : Dina ApriliaHead Of Facilities MOP : Luthfy KaharHead Of Sales & Business: Okto RohyadiHead of Talent: Heidy HellenaProducer : Ariesta MR TanjungCreative: Fahmi NasrullohProduction Assistant: Deria OctavienaDOP: Luthfy KaharCameraman: Dimas Isnain Harseno | Suhendi | Eka PutraEditor : Ade Yusuf IskandarUPM : Shony Marida AngriawanTalent Coordinator : FajriMake Up : Bibi Noni | FirdaHair Do : AbankWardrobe & Stylist : Dino Miliano | ArrayStill Photo : Fahri PotretCar Pool: Erwin Narto*******************************************Thanks to:- Tuhan YME - Inez Cosmetics- @sahabatayahsarah- MOP Lovers- Bento X Bensu Seluruh Indonesia, Taiwan, Malaysia, Singapore, Hongkong Dan Seluruh Dunia- Subscribers Mop Channel dan Mop Music Channel - Semua yang mensupport Mop Channel dan Mop Channel- Dan Semua yang terlibat dalam Video Klip IniLIRIK : TAK PERNAH MEREKA BAYANGKAN TERLAHIR BEGITUTAK SAMA SEPERTI ORANG YANG LAIN OH HO...MEREKA SELALU MERASA TELAH KECEWAKAN... DIA PUN TAK INGINKAN SEPERTI ITU OH HOO...ULURKAN TANGAN DAN HATIRANGKLU DAN TENANGKAN HATIAGAR MEREKA MERASA SEMPURNA... OH HOOOANDAI SAJA YANG DIA RASAKAN TERJADI PADA KALIAN... TERLAHIR DENGAN YANG TAK SAMA MUNGKIN KAU TAK MENERIMA...MEREKA MANUSIA BIASA YANG INGINKAN RASA CINTAJANGAN PANDANG SEBELAH MATA KARNA KITA SEMUA SAMA...TAK PERNAH MEREKA BAYANGKAN TERLAHIR BEGITUTAK SAMA SEPERTI ORANG YANG LAIN OH HO...ULURKAN TANGAN DAN HATI RANGKUL TUK TENANGKAN HATIAGAR MEREKA MERASA SEMPURNA.. AAA..ANDAI SAJA YANG DIA RASAKAN TERJADI PADA KALIAN... TERLAHIR DENGAN YANG TAK SAMA MUNGKIN KAU TAK MENERIMA... MEREKA MANUSIA BIASA YANG INGINKAN RASA CINTA....JANGAN PANDANG SEBELAH MATA KARNA KITA SEMUA SAMA...OH HOOOO... HO UWOOOOANDAI SAJA YANG DIA RASAKAN TERJADI PADA KALIAN... TERLAHIR DENGAN YANG TAK SAMA MUNGKIN KAU TAK MENERIMA...AAAAA... YANG INGINKAN RASA CINTAJANGAN KAU PANDANG SEBELAH MATA HOU HOOOO... KARENA KITA SEMUA SAMA"
"kGBo6tQuEKY","INI BUKTI YANG KALIAN MAU !","2020-12-03T13:08:35Z","UC2yGNs1GRIHBBXtLsi3FWlg","Tasya Revina","26","20.06.12","Tasya Revina|tasya revina|tasya|revina|klarifikasi|no edit|tasya revina tiktok|tasya revina putus dengan jamil|TasyaRevina|klarifikasi tasya revina|harus jujur|jujur|TASYAREVINA|TASYA|REVINA|TASYA REVINA|Live|new|update|bukti|bukti klarifikasi|bukti bukti|tasya revina klarifikasi|tasya revina memberi bukti|tasya revina angkat bicara|bukti kuat|bukti otentik|arjuna dsp|tasya revina arjuna","1042677","34185","19561","9300","https://i.ytimg.com/vi/kGBo6tQuEKY/default.jpg","False","False","HI THERE HI THERE HI THERE! Let’s be friend!-- -- -- FOLLOW INSTAGRAM :@tasyarevina - @hastalavistachubby - @aniverable#tasyarevina #buktibukti #klarifikasi"
"BdKW9j3Pg9E","TRIK MAKANAN GENIUS UNTUK HIDANGAN LEZAT! || Ide DIY Lucu untuk Penggemar Makanan oleh 123 Go Like!","2020-11-25T19:48:48Z","UCGXnDxirLuSrIHwQXWxRzeg","123 GO LIKE! Indonesian","24","20.06.12","123 go|123 GO!|123 GO! Like|123 GO! Like Indonesian|123GO!|123go|keisengan|menyenangkan|te-man|bersahabat|tutorial|cara|Makanan|prank makanan|prank|prank lucu|situasi canggung|kekonyolan yang epik|kekonyolan yang lucu|permen jeli|makanan dari permen jeli|makanan dari permen jeli vs asli|skittles|tantangan|tantangan skittles|tantangan makanan","12453878","66975","21068","7381","https://i.ytimg.com/vi/BdKW9j3Pg9E/default.jpg","False","False","Berita terbaru, Teman-Teman – kami tahu caranya seru-seruan menggunakan minuman soda dan permen skittles favoritmu, lho!🍭🍬Kali ini kamu akan belajar cara melunturkan warna dari permen favoritmu, cara melancarkan aksi prank makanan terbaik pada sahabatmu, cara membuat camilan mayo lucu dari biskuit manis dan lezat!Kami akan kembali! #123GoLike #videolucu #123GOVideo ini ditujukan sebagai hiburan. Kami tidak menjamin kelengkapan, keamanan, dan kelayakan apa pun. Segala tindakan yang dilakukan berdasarkan informasi di video ini akan sepenuhnya menjadi risiko pelaku, dan kami tidak akan bertanggung jawab atas segala kerusakan dan kehilangan. Pemirsa bertanggung jawab penuh untuk menilai, merawat, dan melakukan tindak pencegahan jika berencana untuk meniru.Video berikut ini mungkin menampilkan aktivitas yang dilakukan oleh aktor-aktor kami dalam lingkungan terkendali - mohon bertindak penuh pertimbangan, kewaspadaan, dan kehati-hatian apabila hendak meniru.BERLANGGANAN 123 GO LIKE INDONESIAN: https://go-gl.com/N5Wg4m4y__________________________________________Musik oleh Epidemic Sound: https://www.epidemicsound.com/Sampel Foto: https://www.depositphotos.com https://www.shutterstock.com"
"GySMh23-6UI","TANTANGAN COKELAT VS BARANG ASLINYA! 24 Jam Makan yang Manis! Cokelat Raksasa oleh 123 GO! CHALLENGE","2020-11-25T10:03:09Z","UC-S7cyZCojMeVopBkH6yNEw","123 GO! CHALLENGE Indonesian","24","20.06.12","123 go challenge|123go challenge|tantangan|123 go|123go|challenge|123go challenge indonesia|jail|seru|lucu|tantangan 123 go|tantangan 123go","9546760","54512","14489","3666","https://i.ytimg.com/vi/GySMh23-6UI/default.jpg","False","False","Wahai semua penggemar cokelat!Sepertinya kita punya tantangan super lezat yang patut dicoba!Peraturannya mudah kok, isi salah satu dari piring misteri ini adalah cokelat dan yang lainnya ... lihat saja sendiri, deh :)Mari kita uji kecintaanmu kepada cokelat dengan tantangan cokelat manis ini!Kira-kira, kamu bakal pilih cokelat atau semua barang yang kamu lihat di video ini?Punya gitar asli kayaknya oke juga, asal kamu tahu cara mainnya.Tapi bagaimana dengan Gitar Cokelat Super Besar itu?! Mungkin itu pilihan yang lebih baik?Jangan lupa untuk membagikan video ini dengan teman-temanmu dan bikin tantangan makanan cokelat vs barang asli versimu sendiri!Berlangganan ke channel YouTube kami supaya tidak pernah ketinggalan keseruannya!#123GO #cokelatvsbarangasli #tantanganmakanan #RaksasaVideo ini ditujukan sebagai hiburan. Kami tidak menjamin kelengkapan, keamanan, dan kelayakan apa pun. Segala tindakan yang dilakukan berdasarkan informasi di video ini akan sepenuhnya menjadi risiko pelaku, dan kami tidak akan bertanggung jawab atas segala kerusakan dan kehilangan. Pemirsa bertanggung jawab penuh untuk menilai, merawat, dan melakukan tindak pencegahan jika berencana untuk meniru.Video berikut ini mungkin menampilkan aktivitas yang dilakukan oleh aktor-aktor kami dalam lingkungan terkendali - mohon bertindak penuh pertimbangan, kewaspadaan, dan kehati-hatian apabila hendak meniru.Berlangganan 123 GO! CHALLENGE Indonesian: https://clck.ru/JxtU7Musik oleh Epidemic Sound  https://www.epidemicsound.com/Materi stok (foto, rekaman, dan lain-lain):https://www.depositphotos.comhttps://www.shutterstock.comhttps://elements.envato.com"
